Symbol,Extension,
ADANIPORTS,.NS,
ABCAPITAL,.NS,
ABFRL,.NS,
ALKEM,.NS,
AMBUJACEM,.NS,
APOLLOHOSP,.NS,
APOLLOTYRE,.NS,
ASHOKLEY,.NS,
ASIANPAINT,.NS,
ASTRAL,.NS,
ATUL,.NS,
AUROPHARMA,.NS,
AXISBANK,.NS,
BSOFT,.NS,
BAJAJ-AUTO,.NS,
BAJFINANCE,.NS,
BAJAJFINSV,.NS,
BALKRISIND,.NS,
BALRAMCHIN,.NS,
BANDHANBNK,.NS,
BANKBARODA,.NS,
BATAINDIA,.NS,
BERGEPAINT,.NS,
BEL,.NS,
BHARATFORG,.NS,
BHEL,.NS,
BPCL,.NS,
BHARTIARTL,.NS,
BIOCON,.NS,
BOSCHLTD,.NS,
BRITANNIA,.NS,
CANFINHOME,.NS,
CANBK,.NS,
CHAMBLFERT,.NS,
CHOLAFIN,.NS,
CIPLA,.NS,
CUB,.NS,
COALINDIA,.NS,
COFORGE,.NS,
COLPAL,.NS,
CONCOR,.NS,
COROMANDEL,.NS,
CROMPTON,.NS,
CUMMINSIND,.NS,
DLF,.NS,
DABUR,.NS,
DALBHARAT,.NS,
DEEPAKNTR,.NS,
DIVISLAB,.NS,
DIXON,.NS,
LALPATHLAB,.NS,
DRREDDY,.NS,
EICHERMOT,.NS,
ESCORTS,.NS,
EXIDEIND,.NS,
GAIL,.NS,
GMRINFRA,.NS,
GLENMARK,.NS,
GODREJCP,.NS,
GODREJPROP,.NS,
GRANULES,.NS,
GRASIM,.NS,
GUJGASLTD,.NS,
GNFC,.NS,
HCLTECH,.NS,
HDFCAMC,.NS,
HDFCBANK,.NS,
HDFCLIFE,.NS,
HAVELLS,.NS,
HEROMOTOCO,.NS,
HINDALCO,.NS,
HAL,.NS,
HINDCOPPER,.NS,
HINDPETRO,.NS,
HINDUNILVR,.NS,
ICICIBANK,.NS,
ICICIGI,.NS,
ICICIPRULI,.NS,
IDFCFIRSTB,.NS,
IPCALAB,.NS,
ITC,.NS,
INDIAMART,.NS,
IEX,.NS,
IOC,.NS,
IRCTC,.NS,
IGL,.NS,
INDUSTOWER,.NS,
INDUSINDBK,.NS,
NAUKRI,.NS,
INFY,.NS,
INDIGO,.NS,
JKCEMENT,.NS,
JSWSTEEL,.NS,
JINDALSTEL,.NS,
JUBLFOOD,.NS,
KOTAKBANK,.NS,
LTF,.NS,
LTTS,.NS,
LICHSGFIN,.NS,
LTIM,.NS,
LT,.NS,
LAURUSLABS,.NS,
LUPIN,.NS,
MRF,.NS,
MGL,.NS,
M&amp;MFIN,.NS,
M&amp;M,.NS,
MANAPPURAM,.NS,
MARICO,.NS,
MARUTI,.NS,
MFSL,.NS,
METROPOLIS,.NS,
MPHASIS,.NS,
MCX,.NS,
MUTHOOTFIN,.NS,
NMDC,.NS,
NTPC,.NS,
NATIONALUM,.NS,
NAVINFLUOR,.NS,
NESTLEIND,.NS,
OBEROIRLTY,.NS,
ONGC,.NS,
OFSS,.NS,
PIIND,.NS,
PVRINOX,.NS,
PAGEIND,.NS,
PERSISTENT,.NS,
PETRONET,.NS,
PIDILITIND,.NS,
PEL,.NS,
POLYCAB,.NS,
PFC,.NS,
POWERGRID,.NS,
PNB,.NS,
RBLBANK,.NS,
RECLTD,.NS,
RELIANCE,.NS,
SBICARD,.NS,
SBILIFE,.NS,
SHREECEM,.NS,
SRF,.NS,
MOTHERSON,.NS,
SHRIRAMFIN,.NS,
SIEMENS,.NS,
SBIN,.NS,
SAIL,.NS,
SUNPHARMA,.NS,
SUNTV,.NS,
SYNGENE,.NS,
TATACONSUM,.NS,
TVSMOTOR,.NS,
TATACHEM,.NS,
TATACOMM,.NS,
TCS,.NS,
TATAMOTORS,.NS,
TATAPOWER,.NS,
TATASTEEL,.NS,
TECHM,.NS,
FEDERALBNK,.NS,
INDHOTEL,.NS,
RAMCOCEM,.NS,
TITAN,.NS,
TORNTPHARM,.NS,
TRENT,.NS,
UPL,.NS,
ULTRACEMCO,.NS,
UBL,.NS,
UNITDSPR,.NS,
VEDL,.NS,
IDEA,.NS,
VOLTAS,.NS,
WIPRO,.NS,
ZYDUSLIFE,.NS,
